COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Faith KIPYEGON,KEN,30.0,15.41,30.56,45.99,1:01.94,1:18.40,1:35.04,1:51.38,2:07.99,2:24.45,2:41.37,2:56.43,3:11.10,3:25.80,3:40.80,3:55.14
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Diribe WELTEJI,ETH,21.0,14.61,30.00,45.75,1:01.89,1:18.30,1:35.16,1:53.40,2:08.34,2:24.83,2:41.48,2:56.82,3:11.68,3:26.10,3:41.25,3:55.18
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Sifan HASSAN,NED,31.0,15.53,31.10,47.08,1:03.18,1:18.67,1:35.22,1:51.22,2:07.94,2:24.47,2:41.27,2:56.44,3:11.24,3:25.98,3:40.66,3:55.48
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Laura MUIR,GBR,30.0,15.77,31.63,47.49,1:03.54,1:19.55,1:36.13,1:51.71,2:08.30,2:24.71,2:41.35,2:56.57,3:11.39,3:26.18,3:41.20,3:56.36
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Katie SNOWDEN,GBR,29.0,14.94,30.47,46.39,1:02.41,1:18.66,1:35.29,1:51.71,2:08.02,2:24.55,2:41.37,2:56.84,3:11.72,3:26.48,3:42.16,3:56.72
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Jessica HULL,AUS,27.0,14.71,30.24,46.47,1:02.09,1:18.42,1:35.17,1:51.41,2:08.13,2:24.59,2:41.29,2:56.48,3:11.60,3:26.36,3:41.79,3:57.85
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Adelle TRACEY,JAM,30.0,14.96,30.49,46.45,1:02.64,1:18.85,1:35.44,1:51.83,2:08.50,2:24.89,2:41.67,2:57.14,3:12.24,3:27.42,3:43.09,3:58.77
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Sarah HEALY,IRL,23.0,15.19,30.83,46.71,1:02.88,1:19.08,1:35.69,1:52.16,2:08.65,2:25.03,2:41.65,2:57.63,3:13.41,3:29.06,3:44.89,3:59.68
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Abbey CALDWELL,AUS,22.0,15.37,31.14,47.28,1:03.12,1:19.35,1:36.04,1:52.66,2:08.93,2:25.38,2:41.85,2:58.92,3:13.86,3:29.52,3:44.87,3:59.79
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Esther GUERRERO,ESP,34.0,15.16,30.77,46.78,1:03.01,1:19.37,1:36.02,1:52.64,2:08.76,2:25.15,2:41.73,2:58.76,3:13.60,3:29.22,3:44.83,4:00.13
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,2.0,Nikki HILTZ,USA,29.0,15.12,30.96,46.60,1:02.84,1:19.20,1:35.76,1:52.53,2:08.85,2:25.20,2:41.74,2:57.56,3:13.31,3:28.94,3:44.94,4:00.84
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Yared NUGUSE,USA,24.0,13.56,27.74,41.61,56.03,1:10.42,1:25.15,1:40.11,1:54.99,2:09.67,2:24.76,2:38.97,2:52.67,3:05.86,3:19.50,3:32.69
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Abel KIPSANG,KEN,27.0,13.18,27.40,41.46,55.89,1:10.32,1:25.38,1:39.90,1:54.88,2:09.49,2:24.73,2:39.13,2:52.75,3:05.89,3:19.63,3:32.72
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Niels LAROS,NED,18.0,13.32,28.06,42.29,56.82,1:11.39,1:25.98,1:40.46,1:55.39,2:09.92,2:24.94,2:40.38,2:53.37,3:06.31,3:19.82,3:32.74
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Azeddine HABZ,FRA,30.0,13.32,27.63,41.76,56.22,1:10.70,1:25.39,1:40.93,1:55.19,2:09.78,2:24.63,2:39.12,2:52.85,3:06.01,3:19.61,3:32.79
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Narve Gilje NORDÅS,NOR,25.0,14.39,29.34,43.19,57.60,1:12.09,1:26.55,1:41.03,1:55.94,2:10.47,2:25.38,2:39.45,2:53.03,3:06.09,3:19.91,3:32.81
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Neil GOURLEY,GBR,29.0,13.67,28.23,44.02,57.29,1:11.50,1:26.41,1:40.84,1:55.81,2:10.30,2:25.22,2:39.70,2:53.67,3:06.63,3:20.35,3:32.97
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Tshepo TSHITE,RSA,27.0,13.20,27.96,42.24,57.01,1:11.65,1:26.46,1:41.17,1:55.91,2:10.70,2:25.82,2:40.10,2:54.44,3:07.63,3:20.46,3:32.98
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Pietro ARESE,ITA,24.0,16.26,28.08,42.56,56.93,1:11.47,1:26.19,1:40.57,1:55.56,2:10.02,2:24.89,2:39.56,2:53.39,3:06.97,3:20.75,3:33.11
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Adel MECHAAL,ESP,33.0,14.25,28.48,42.90,57.34,1:11.77,1:26.42,1:40.65,1:55.26,2:09.91,2:24.92,2:39.25,2:53.12,3:06.34,3:19.96,3:33.33
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Mohamed KATIR,ESP,26.0,14.06,28.62,42.44,56.60,1:10.84,1:25.47,1:40.12,1:55.12,2:09.59,2:24.91,2:39.06,2:52.80,3:05.89,3:19.64,3:33.56
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Ruben VERHEYDEN,BEL,23.0,15.02,28.22,44.96,57.40,1:11.96,1:26.82,1:42.63,1:56.03,2:10.65,2:27.61,2:39.78,2:53.72,3:07.26,3:20.69,3:33.96
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Emil DANIELSSON,SWE,26.0,14.48,28.82,46.32,58.00,1:12.20,1:27.23,1:42.29,1:56.39,2:10.99,2:25.71,2:40.19,2:54.24,3:07.47,3:22.72,3:34.16
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Matthew RAMSDEN,AUS,26.0,14.15,28.42,44.48,57.62,1:14.77,1:26.96,1:41.60,1:56.09,2:10.90,2:26.03,2:39.98,2:54.26,3:08.57,3:23.08,3:36.83
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,1.0,Andrew COSCORAN,IRL,27.0,13.24,27.75,42.45,56.60,1:11.39,1:26.62,1:42.92,1:55.61,2:10.44,2:25.27,2:40.96,2:53.87,3:07.68,3:22.44,3:37.39
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Jakob INGEBRIGTSEN,NOR,23.0,14.95,30.24,46.43,1:01.18,1:16.42,1:31.51,1:46.88,2:01.44,2:15.19,2:29.23,2:44.35,2:56.64,3:09.54,3:22.51,3:34.98
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Josh KERR,GBR,26.0,13.82,29.13,44.66,1:00.26,1:15.43,1:31.03,1:45.90,2:00.30,2:14.38,2:28.39,2:42.13,2:55.56,3:09.04,3:22.37,3:35.14
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Cole HOCKER,USA,22.0,13.95,28.98,44.46,1:00.10,1:15.37,1:31.00,1:45.78,2:00.53,2:14.65,2:29.37,2:42.81,2:56.00,3:09.34,3:22.29,3:35.23
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Mario GARCÍA,ESP,24.0,13.74,29.70,45.03,1:00.43,1:15.80,1:31.55,1:46.05,2:00.60,2:14.56,2:28.81,2:42.39,2:55.77,3:09.25,3:22.50,3:35.26
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Isaac NADER,POR,24.0,13.90,29.25,44.89,1:00.59,1:15.88,1:31.42,1:46.22,2:01.00,2:14.98,2:29.13,2:42.83,2:56.50,3:09.58,3:22.48,3:35.31
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Reynold Kipkorir CHERUIYOT,KEN,19.0,14.00,30.54,45.63,1:00.83,1:15.89,1:31.54,1:46.40,2:01.17,2:15.23,2:29.45,2:42.94,2:56.39,3:09.60,3:22.79,3:35.53
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Charles GRETHEN,LUX,31.0,13.64,29.35,44.45,1:00.16,1:15.62,1:31.62,1:46.09,2:00.96,2:14.96,2:29.86,2:43.77,2:56.46,3:09.89,3:22.86,3:36.18
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Samuel TANNER,NZL,23.0,13.98,29.67,45.48,1:00.68,1:16.00,1:31.66,1:46.47,2:01.49,2:15.38,2:29.52,2:43.90,2:56.82,3:10.01,3:23.59,3:36.58
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Timothy CHERUIYOT,KEN,28.0,14.19,29.89,45.41,1:01.06,1:16.10,1:31.56,1:46.66,2:01.33,2:15.37,2:29.66,2:43.99,2:57.05,3:10.17,3:23.42,3:37.40
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Charles PHILIBERT-THIBOUTOT,CAN,33.0,14.46,29.79,45.22,1:00.90,1:16.21,1:31.81,1:46.62,2:01.51,2:15.49,2:29.62,2:43.18,2:56.87,3:10.05,3:23.46,3:37.41
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Tom ELMER,SUI,26.0,13.74,29.82,46.62,1:00.38,1:15.76,1:31.14,1:46.15,2:00.92,2:14.96,2:29.50,2:42.77,2:56.64,3:10.44,3:24.33,3:38.33
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Elliot GILES,GBR,29.0,13.69,28.82,44.79,1:00.32,1:15.57,1:31.38,1:46.14,2:00.83,2:14.76,2:29.29,2:42.75,2:56.33,3:09.78,3:23.59,3:39.05
outdoor,Budapest (HUN),2023,20 August 2023,33,46,men,1500-metres,semi-final,2.0,Adam SPENCER,AUS,22.0,14.05,30.14,45.31,1:01.10,1:16.05,1:31.41,1:46.19,2:01.27,2:15.27,2:29.34,2:43.30,2:57.58,3:12.00,3:26.90,3:42.10
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Faith KIPYEGON,KEN,30.0,14.12,30.84,48.03,1:05.14,1:21.68,1:38.54,1:55.04,2:11.78,2:27.63,2:43.42,2:59.12,3:12.41,3:26.03,3:40.17,3:54.87
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Diribe WELTEJI,ETH,21.0,14.14,30.69,48.08,1:05.27,1:21.91,1:38.74,1:55.12,2:11.95,2:27.71,2:43.75,2:58.24,3:12.65,3:26.42,3:40.86,3:55.69
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Sifan HASSAN,NED,31.0,15.36,31.69,48.72,1:06.20,1:22.85,1:39.65,1:55.80,2:12.66,2:28.34,2:44.23,2:58.65,3:13.14,3:26.75,3:40.77,3:56.00
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Ciara MAGEEAN,IRL,31.0,14.38,31.03,49.18,1:05.37,1:21.93,1:38.68,1:55.01,2:12.01,2:27.79,2:43.42,2:58.32,3:12.84,3:26.79,3:41.06,3:56.61
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Nelly CHEPCHIRCHIR,KEN,20.0,14.27,30.82,48.29,1:05.50,1:22.03,1:38.94,1:55.32,2:12.12,2:27.87,2:43.53,2:58.41,3:12.88,3:26.87,3:42.19,3:57.90
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Laura MUIR,GBR,30.0,14.44,31.24,48.26,1:05.47,1:21.92,1:38.92,1:55.27,2:12.05,2:27.78,2:43.46,2:58.38,3:13.21,3:27.92,3:43.20,3:58.58
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Jessica HULL,AUS,27.0,15.22,31.38,48.40,1:05.64,1:22.19,1:39.02,1:56.07,2:12.12,2:28.08,2:43.80,2:58.92,3:14.30,3:28.77,3:43.88,3:59.54
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Katie SNOWDEN,GBR,29.0,14.49,31.37,48.23,1:05.75,1:22.15,1:38.96,1:55.28,2:12.34,2:27.89,2:43.64,2:58.76,3:13.86,3:28.64,3:44.04,3:59.65
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Birke HAYLOM,ETH,18.0,14.22,30.92,48.80,1:06.28,1:22.47,1:39.35,1:55.62,2:12.50,2:28.23,2:43.98,2:59.00,3:14.49,3:29.32,3:45.27,4:01.51
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Cory Ann MCGEE,USA,31.0,14.51,31.19,49.95,1:05.93,1:22.53,1:39.20,1:55.51,2:12.44,2:27.92,2:43.65,2:58.82,3:14.11,3:29.40,3:45.23,4:01.60
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Ludovica CAVALLI,ITA,23.0,14.66,31.37,48.45,1:05.80,1:22.33,1:39.04,1:55.48,2:12.50,2:28.20,2:44.28,2:59.49,3:15.42,3:31.02,3:46.79,4:01.84
outdoor,Budapest (HUN),2023,22 August 2023,28,53,women,1500-metres,final,1.0,Melissa COURTNEY-BRYANT,GBR,30.0,15.01,31.73,48.69,1:06.06,1:22.65,1:39.31,1:56.38,2:12.90,2:28.80,2:44.94,3:00.50,3:16.71,3:32.28,3:48.02,4:03.31
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Josh KERR,GBR,26.0,13.55,27.69,41.70,56.66,1:11.69,1:25.95,1:40.15,1:54.82,2:08.37,2:22.09,2:36.61,2:49.58,3:02.83,3:15.76,3:29.38
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Narve Gilje NORDÅS,NOR,25.0,14.11,28.24,42.59,57.09,1:11.87,1:26.55,1:40.91,1:55.36,2:09.05,2:23.48,2:37.07,2:50.29,3:03.58,3:16.83,3:29.68
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Yared NUGUSE,USA,24.0,13.43,27.78,42.15,56.82,1:11.04,1:25.68,1:40.02,1:54.61,2:08.43,2:22.35,2:36.63,2:49.97,3:03.39,3:16.78,3:30.25
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Mario GARCÍA,ESP,24.0,13.65,27.57,41.87,56.73,1:11.36,1:26.34,1:40.66,1:55.20,2:09.13,2:22.98,2:37.26,2:50.56,3:03.69,3:16.98,3:30.26
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Cole HOCKER,USA,22.0,13.88,27.93,42.01,56.75,1:11.51,1:26.24,1:40.55,1:55.25,2:09.00,2:22.90,2:37.17,2:50.28,3:03.78,3:17.35,3:30.70
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Neil GOURLEY,GBR,29.0,13.37,27.51,41.57,56.55,1:11.17,1:26.03,1:40.44,1:55.26,2:08.81,2:22.79,2:37.03,2:50.27,3:03.59,3:17.14,3:31.10
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Niels LAROS,NED,18.0,13.34,27.25,41.57,56.40,1:11.15,1:25.79,1:40.45,1:54.99,2:08.58,2:22.56,2:38.29,2:49.90,3:03.17,3:16.54,3:31.25
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Azeddine HABZ,FRA,30.0,13.27,27.38,41.42,56.03,1:11.05,1:25.57,1:39.90,1:54.66,2:08.60,2:22.65,2:36.95,2:49.89,3:03.35,3:17.23,3:33.14
outdoor,Budapest (HUN),2023,23 August 2023,27,60,men,1500-metres,final,1.0,Isaac NADER,POR,24.0,13.37,27.46,41.60,56.64,1:11.35,1:25.92,1:40.20,1:54.69,2:08.78,2:22.44,2:36.85,2:50.28,3:03.68,3:18.44,3:35.41
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Gudaf TSEGAY,ETH,25.0,16.24,32.96,50.27,1:07.87,1:24.26,1:41.02,1:56.81,2:12.71,2:28.06,2:43.71,2:59.54,3:15.31,3:30.77,3:46.56,4:02.68
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Winny CHEBET,KEN,32.0,15.50,32.75,50.16,1:07.55,1:24.20,1:40.78,1:57.20,2:13.06,2:28.54,2:44.23,3:00.15,3:15.95,3:31.20,3:47.23,4:03.12
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Linden HALL,AUS,31.0,15.54,32.54,49.95,1:07.33,1:23.90,1:40.66,1:57.07,2:13.33,2:28.48,2:44.03,2:59.78,3:15.65,3:31.13,3:47.07,4:03.21
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Sofia ENNAOUI,POL,27.0,15.97,33.13,50.88,1:08.38,1:24.93,1:41.52,1:58.00,2:14.09,2:29.80,2:45.56,3:01.20,3:17.27,3:32.91,3:48.38,4:03.52
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Katharina TROST,GER,27.0,15.75,32.97,50.37,1:07.90,1:24.50,1:41.19,1:57.72,2:14.12,2:29.88,2:45.24,3:00.49,3:16.29,3:31.58,3:47.15,4:03.53
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Cory Ann MCGEE,USA,30.0,15.52,32.56,49.98,1:07.49,1:24.19,1:40.88,1:56.90,2:12.78,2:28.29,2:43.90,2:59.60,3:15.38,3:31.03,3:47.18,4:03.61
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Winnie NANYONDO,UGA,29.0,15.43,32.46,49.88,1:07.32,1:23.97,1:40.73,1:57.25,2:13.21,2:28.87,2:44.64,3:00.33,3:16.22,3:31.46,3:47.39,4:03.81
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Diana MEZULIÁNÍKOVÁ,CZE,30.0,15.94,32.98,50.59,1:08.08,1:24.67,1:41.41,1:57.80,2:14.28,2:30.14,2:45.77,3:01.81,3:17.88,3:33.69,3:49.74,4:06.55
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Edinah JEBITOK,KEN,21.0,16.37,32.97,50.51,1:08.16,1:24.57,1:41.29,1:57.58,2:14.32,2:30.22,2:46.76,3:02.97,3:18.97,3:34.74,3:50.84,4:07.12
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Federica DEL BUONO,ITA,28.0,15.84,32.80,50.27,1:07.70,1:24.37,1:40.97,1:57.35,2:13.46,2:28.82,2:44.48,3:00.44,3:17.21,3:33.68,3:50.56,4:08.42
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Melissa COURTNEY-BRYANT,GBR,29.0,15.64,32.98,50.41,1:07.73,1:24.41,1:41.11,1:57.63,2:13.87,2:29.83,2:46.37,3:03.04,3:20.00,3:36.60,3:53.14,4:09.07
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Nathalie BLOMQVIST,FIN,21.0,16.06,32.56,50.72,1:08.29,1:24.88,1:41.59,1:57.98,2:14.70,2:30.84,2:47.39,3:04.21,3:21.13,3:37.86,3:54.61,4:11.98
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Alma Delia CORTES,MEX,25.0,15.71,32.57,50.05,1:07.23,1:23.86,1:40.65,1:57.47,2:13.93,2:30.07,2:46.63,3:03.70,3:21.14,3:38.37,3:56.00,4:13.92
outdoor,Oregon (USA),2022,15 July 2022,28,41,women,1500-metres,heats,3.0,Gresa BAKRAÇI,KOS,27.0,16.59,34.10,51.86,1:10.25,1:28.26,1:46.03,2:03.99,2:21.85,2:39.07,2:56.36,3:13.73,3:31.02,3:48.10,4:05.19,4:22.77
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Oliver HOARE,AUS,25.0,13.33,27.73,42.50,57.68,1:12.96,1:28.25,1:43.13,1:58.47,2:12.97,2:27.68,2:41.86,2:55.55,3:09.17,3:22.51,3:36.17
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Samuel TEFERA,ETH,23.0,14.13,28.10,42.79,58.01,1:12.88,1:28.51,1:43.29,1:58.54,2:12.93,2:27.62,2:41.65,2:55.45,3:09.07,3:22.60,3:36.35
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Andrew COSCORAN,IRL,26.0,13.50,28.18,42.98,58.24,1:13.53,1:28.96,1:43.73,1:58.98,2:13.57,2:28.35,2:42.47,2:56.02,3:09.63,3:23.15,3:36.36
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Timothy CHERUIYOT,KEN,27.0,13.60,28.43,43.34,57.67,1:13.22,1:28.62,1:43.36,1:58.67,2:13.26,2:27.87,2:42.07,2:55.92,3:09.36,3:22.71,3:36.41
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Charles GRETHEN,LUX,30.0,13.42,27.88,42.95,58.12,1:13.37,1:28.75,1:43.56,1:58.83,2:13.71,2:28.28,2:42.00,2:55.74,3:09.04,3:22.45,3:36.51
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Neil GOURLEY,GBR,27.0,13.75,28.27,43.21,58.61,1:13.85,1:29.32,1:44.22,1:59.35,2:14.18,2:27.93,2:42.62,2:56.47,3:09.91,3:23.43,3:36.54
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Ignacio FONTES,ESP,24.0,13.23,28.10,43.09,58.40,1:13.51,1:28.85,1:43.60,1:58.89,2:13.49,2:28.19,2:42.28,2:55.92,3:09.46,3:22.86,3:36.69
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Michał ROZMYS,POL,27.0,13.58,27.99,43.05,58.36,1:13.76,1:29.17,1:44.03,1:59.24,2:14.01,2:28.98,2:43.05,2:57.12,3:10.28,3:23.79,3:36.76
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Cameron PROCEVIAT,CAN,29.0,13.71,28.54,43.46,58.72,1:13.77,1:29.21,1:43.86,1:59.08,2:13.88,2:28.58,2:42.74,2:56.56,3:10.13,3:23.80,3:37.43
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Christoph KESSLER,GER,27.0,13.61,28.37,43.28,57.66,1:13.65,1:29.11,1:43.85,1:59.09,2:13.93,2:28.69,2:42.88,2:56.72,3:10.14,3:23.74,3:37.57
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Abdellatif SADIKI,MAR,23.0,13.47,28.19,42.92,58.24,1:13.22,1:28.67,1:43.52,1:58.76,2:13.27,2:28.08,2:42.32,2:56.22,3:09.95,3:23.64,3:37.76
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Mafori Ryan MPHAHLELE,RSA,24.0,13.14,27.55,42.44,57.66,1:12.88,1:28.19,1:43.07,1:58.48,2:13.27,2:27.93,2:42.22,2:55.99,3:09.50,3:23.50,3:39.17
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Cooper TEARE,USA,23.0,13.42,27.99,42.81,58.06,1:13.17,1:28.57,1:43.42,1:58.74,2:13.44,2:28.26,2:42.54,2:56.38,3:10.24,3:24.78,3:41.15
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,1.0,Abraham GUEM,SSD,23.0,13.70,27.65,42.38,57.67,1:12.88,1:28.18,1:43.23,1:58.58,2:13.52,2:28.61,2:42.93,2:57.43,3:12.30,3:27.75,3:43.47
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Stewart MCSWEYN,AUS,27.0,14.06,29.27,44.04,59.15,1:13.41,1:27.76,1:42.16,1:56.27,2:10.26,2:24.32,2:38.45,2:52.47,3:06.68,3:20.76,3:34.91
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Charles PHILIBERT-THIBOUTOT,CAN,32.0,14.03,29.27,44.39,59.63,1:13.97,1:28.56,1:42.97,1:57.25,2:11.41,2:25.41,2:39.52,2:53.28,3:07.13,3:21.10,3:35.02
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Jakob INGEBRIGTSEN,NOR,22.0,14.74,29.28,43.96,59.18,1:13.52,1:28.03,1:42.29,1:56.78,2:10.88,2:24.94,2:39.03,2:53.07,3:06.94,3:20.81,3:35.12
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Jake WIGHTMAN,GBR,28.0,14.13,29.55,44.38,59.53,1:13.80,1:28.24,1:42.63,1:56.93,2:10.91,2:24.98,2:39.02,2:52.98,3:07.05,3:20.98,3:35.31
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Mario GARCÍA,ESP,23.0,13.97,29.35,44.18,59.41,1:13.81,1:28.29,1:42.81,1:57.42,2:11.47,2:25.70,2:39.62,2:53.68,3:07.45,3:21.20,3:35.43
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,John GREGOREK,USA,31.0,14.09,29.28,44.51,59.82,1:14.21,1:28.83,1:43.21,1:57.66,2:11.76,2:25.88,2:39.80,2:53.89,3:07.65,3:21.85,3:35.65
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Santiago CATROFE,URU,23.0,14.45,29.57,44.38,1:00.12,1:14.53,1:29.13,1:43.55,1:57.94,2:12.04,2:26.08,2:40.28,2:54.39,3:08.12,3:22.14,3:35.86
outdoor,Oregon (USA),2022,16 July 2022,23,66,men,1500-metres,heats,2.0,Teddese LEMI,ETH,23.0,14.32,29.74,44.13,1:00.22,1:14.48,1:28.83,1:42.99,1:57.12,2:11.33,2:25.34,2:39.46,2:53.68,3:07.44,3:21.80,3:36.24
